,GDP,CPI,PPI,Interest,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Diluted EPS,MA30,MA7,Walmart,S&P500
2016-05-15,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.11637846628825,18.872458049229213,18.34568214416504,2046.6099853515625
2016-05-16,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.082308451334637,18.758894784109934,18.650787353515625,2066.659912109375
2016-05-17,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.058408610026042,18.66087450299944,18.390878677368164,2047.2099609375
2016-05-18,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.0258451461792,18.53213337489537,17.84000587463379,2047.6300048828125
2016-05-19,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,18.967440478007,18.40056800842285,19.54913902282715,2040.0400390625
2016-05-20,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,18.966848373413086,18.49540819440569,19.735591888427734,2052.320068359375
2016-05-21,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,18.977706400553384,18.693966729300364,19.735591888427734,2052.320068359375
2016-05-22,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,18.99548225402832,18.892525264195033,19.735591888427734,2052.320068359375
2016-05-23,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.010920842488606,19.091083799089706,19.63389015197754,2048.0400390625
2016-05-24,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.02296937306722,19.231527056012833,19.84294319152832,2076.06005859375
2016-05-25,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.041986338297527,19.43896484375,19.91073989868164,2090.5400390625
2016-05-26,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.056252098083498,19.73478399004255,20.015275955200195,2090.10009765625
2016-05-27,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.075591405232746,19.801374980381556,19.987014770507812,2099.06005859375
2016-05-28,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.09286708831787,19.837292534964426,19.987014770507812,2099.06005859375
2016-05-29,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.114910380045572,19.873210089547293,19.987014770507812,2099.06005859375
2016-05-30,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.156024106343587,19.909127644130162,19.987014770507812,2099.06005859375
2016-05-31,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.1971378326416,19.959574018205917,19.99549102783203,2096.949951171875
2016-06-01,0.040717393755891784,0.010784764621246223,-0.041882109617373264,0.29,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.238534100850423,19.981366566249303,19.916385650634766,2099.330078125
2016-06-02,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.270562616984048,19.982173102242605,20.043516159057617,2105.260009765625
2016-06-03,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.31234448750814,19.98620741707938,20.020919799804688,2099.1298828125
2016-06-04,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.351596768697103,19.99105099269322,20.020919799804688,2099.1298828125
2016-06-05,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.39066219329834,19.995894568307058,20.020919799804688,2099.1298828125
2016-06-06,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.42000535329183,20.0007381439209,20.0717716217041,2109.409912109375
2016-06-07,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.451043574015298,20.01284626552037,20.06612205505371,2112.1298828125
2016-06-08,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.481893475850423,20.022936412266322,20.136747360229492,2119.1201171875
2016-06-09,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.50855407714844,20.05441665649414,20.08307456970215,2115.47998046875
2016-06-10,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.534921010335285,20.060067858014786,20.097196578979492,2096.070068359375
2016-06-11,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.57946211496989,20.070964540754044,20.097196578979492,2096.070068359375
2016-06-12,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.619860076904295,20.081861223493302,20.097196578979492,2096.070068359375
2016-06-13,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.67824389139811,20.09275790623256,19.92487144470215,2079.06005859375
2016-06-14,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.73088353474935,20.071772166660853,20.043516159057617,2075.320068359375
2016-06-15,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.787478001912437,20.068542752947128,20.091550827026367,2071.5
2016-06-16,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.37,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.83550345102946,20.06208610534668,20.142393112182617,2077.989990234375
2016-06-17,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.893887265523276,20.070560182843888,20.043516159057617,2071.219970703125
2016-06-18,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.967337608337402,20.06289155142648,20.043516159057617,2071.219970703125
2016-06-19,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.983816846211752,20.05522292000907,20.043516159057617,2071.219970703125
2016-06-20,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,19.99408098856608,20.04755428859166,20.08589744567871,2083.25
2016-06-21,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.00575784047445,20.07055800301688,20.187593460083008,2088.89990234375
2016-06-22,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.020824559529622,20.091140474591935,20.2695255279541,2085.449951171875
2016-06-23,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.38,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.042012405395507,20.116565431867325,20.368396759033203,2113.320068359375
2016-06-24,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.39,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.059527524312337,20.148851667131698,20.328845977783203,2037.4100341796875
2016-06-25,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.073464393615723,20.18961306980678,20.328845977783203,2037.4100341796875
2016-06-26,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.083916727701823,20.230374472481863,20.328845977783203,2037.4100341796875
2016-06-27,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.09531110127767,20.271135875156947,20.19889259338379,2000.5400390625
2016-06-28,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.102373695373537,20.287278039114817,20.201719284057617,2036.0899658203125
2016-06-29,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.10953051249186,20.289296013968332,20.470096588134766,2070.77001953125
2016-06-30,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.125633239746094,20.317949022565568,20.6282958984375,2098.860107421875
2016-07-01,0.040717393755891784,0.010792865347959424,-0.03696098562628347,0.3,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.146726735432942,20.355077471051896,20.5689754486084,2102.949951171875
2016-07-02,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.16847972869873,20.389381681169784,20.5689754486084,2102.949951171875
2016-07-03,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.185995038350423,20.42368589128767,20.5689754486084,2102.949951171875
2016-07-04,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.204263559977214,20.457990101405553,20.5689754486084,2102.949951171875
2016-07-05,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.41,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.222532081604005,20.510859080723353,20.662195205688477,2088.550048828125
2016-07-06,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.243907928466797,20.57664135524205,20.854299545288086,2099.72998046875
2016-07-07,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.269992192586262,20.631527491978236,20.77237892150879,2097.89990234375
2016-07-08,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.293534088134766,20.65211078098842,20.85995101928711,2129.89990234375
2016-07-09,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.31764087677002,20.69367871965681,20.85995101928711,2129.89990234375
2016-07-10,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.34353675842285,20.735246658325195,20.85995101928711,2129.89990234375
2016-07-11,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.368961906433107,20.77681459699358,20.922103881835938,2137.159912109375
2016-07-12,0.03924354407082853,0.008683633430518256,-0.03197524497163495,0.4,18.15,7.29,12.61,12.49,25.19,7.0,5.12,-68.86,4.7,3.66,3.53,3.53,22.09,34.13,11.95,0.33,20.39645881652832,20.827261516026088,20.698925018310547,2152.139892578125
